,Unnamed: 0,Y,X1,X2,X3,X4,X5,X6,Lat,Longi
692,693,12.38002595,26.17,21,5,0,0,0.007438035999999999,38.011303999999996,-121.363928
693,694,11.70354582,14.61,18,3,1,1,0.0155888,37.984248,-121.32908799999998
694,695,11.89818787,21.17,22,3,0,0,0.019463368,37.994468,-121.32880800000001
695,696,11.22390917,10.1,50,3,1,0,0.019806162,37.977612,-121.32207199999999
696,697,11.77143616,17.0,14,3,0,0,0.01538771,38.033028,-121.34773600000001
697,698,12.40901349,22.42,8,3,0,0,0.012201557,37.980828,-121.357504
698,699,11.58524613,11.87,73,2,0,0,0.028375831,37.964976,-121.308136
699,700,11.9511804,17.21,19,3,0,0,0.0017502129999999998,37.983655999999996,-121.3474
700,701,12.43916653,25.15,74,5,1,1,0.03252929,37.973867999999996,-121.307056
701,702,11.6784399,16.98,20,3,0,0,0.025747597,38.039408,-121.339072
702,703,11.790557199999999,18.9,9,4,1,0,0.06458091,38.012291999999995,-121.28731200000001
703,704,11.71177632,15.0,24,3,0,1,0.012169933,38.027524,-121.349096
704,705,11.57119437,10.74,81,2,0,1,0.034853493,37.971128,-121.30353600000001
705,706,11.62177987,15.52,19,3,0,1,0.00719946,38.033596,-121.35670400000001
706,707,11.48760766,10.4,73,2,1,0,0.035397927999999995,37.969916,-121.30249599999999
707,708,11.54248427,15.35,79,2,0,1,0.034033961,37.96502,-121.302104
708,709,11.60823564,10.56,37,3,1,0,0.108861297,38.0475,-121.25328
709,710,11.53761808,14.42,27,3,1,0,0.048393427999999995,38.024908,-121.30938400000001
710,711,11.28915672,11.62,51,2,0,0,0.023783534,37.963332,-121.312424
711,712,11.65268741,13.1,5,3,0,1,0.090226117,38.021879999999996,-121.26352
712,713,11.38509209,11.53,23,3,0,0,0.049927688,38.024612,-121.30763200000001
713,714,12.33929149,20.68,34,4,0,1,0.021916032999999998,37.964884000000005,-121.36186399999998
714,715,11.76368418,16.04,9,3,0,0,0.059655993,38.013052,-121.292864
715,716,11.68687877,14.16,62,3,1,0,0.036941602999999996,37.975892,-121.303104
716,717,11.73606902,16.42,24,3,0,0,0.032321337,38.030356,-121.328624
717,718,11.58524613,16.24,39,2,0,0,0.043521860999999995,38.001028000000005,-121.305568
718,719,11.28978191,11.2,75,2,1,0,0.01510644,37.958664,-121.31993600000001
719,720,11.71095632,16.44,21,3,0,0,0.03819011,38.029768,-121.322128
720,721,11.46163217,12.01,52,3,0,0,0.017943868,37.970904,-121.321528
721,722,11.15625052,10.54,42,3,1,0,0.07718812900000001,37.957368,-121.25308000000001
722,723,11.51242534,12.29,51,3,0,0,0.012945288000000001,37.974356,-121.328176
723,724,11.16542261,7.12,63,2,1,1,0.073842925,37.983556,-121.266552
724,725,11.96718074,22.38,18,4,0,0,0.017326357,38.032140000000005,-121.34532800000001
725,726,11.72803684,12.35,43,4,0,0,0.020282314,38.01876,-121.337112
726,727,11.76756768,16.01,39,4,0,0,0.044839650999999994,37.999548,-121.3036
727,728,11.20504069,9.6,24,3,1,0,0.052637379000000005,38.013224,-121.300432
728,729,11.62625415,15.63,8,3,0,0,0.053889541,38.028876000000004,-121.305008
729,730,11.27720313,11.39,48,2,1,0,0.010726268999999998,37.977076000000004,-121.331576
730,731,11.55214618,17.0,40,4,1,1,0.028386487000000002,37.983340000000005,-121.31506399999999
731,732,12.04325956,20.83,51,4,0,0,0.027129979,38.023016,-121.3314
732,733,11.99380721,18.64,60,3,1,0,0.03504465,37.975415999999996,-121.304952
733,734,12.00456827,18.67,13,3,0,0,0.012418235,38.039828,-121.35348
734,735,11.73206099,11.88,15,2,1,0,0.000334345,37.996532,-121.350752
735,736,11.82114519,16.78,68,3,0,0,0.038721819,37.979912,-121.30272
736,737,11.47210347,15.45,23,3,0,0,0.008833213000000001,38.024224,-121.35141599999999
737,738,11.35040654,14.58,19,3,0,1,0.056096007999999996,38.028788,-121.30261599999999
738,739,11.68266824,11.21,52,2,0,0,0.026654551000000002,37.968596000000005,-121.31134399999999
739,740,11.70354582,13.45,44,3,1,0,0.015522724,38.006756,-121.33766399999999
740,741,11.54151292,17.97,50,3,1,1,0.018834649,37.977764,-121.323168
741,742,11.6784399,16.53,37,3,0,0,0.010026576,38.01892,-121.34813600000001
742,743,11.13458902,9.71,79,2,0,0,0.047335492,37.97788,-121.292744
743,744,11.73606902,12.78,43,3,0,0,0.021393117000000003,38.019616,-121.336248
744,745,11.62625415,15.51,21,3,0,0,0.036516801,38.037652,-121.32689599999999
745,746,11.58058411,16.08,37,3,0,0,0.048034978,38.000712,-121.300624
746,747,12.04355372,26.78,9,5,0,0,0.053666105,38.030488,-121.305856
