"","Y","X1","X2","X3","X4","X5","X6","Lat","Longi"
"415",11.12726298,10,17,2,0,0,0.048869511,37.995028,-121.297584
"416",10.91326863,8,57,2,0,1,0.050430533,37.980708,-121.290504
"417",11.0806029,10,20,3,1,0,0.075049152,37.986672,-121.26644
"418",12.23027733,19,21,3,0,0,0.009273258,38.0077,-121.364528
"419",12.1278408,20,49,3,0,0,0.104380356,38.027816,-121.250632
"420",12.31043266,21,26,4,0,0,0.105938067,38.0423,-121.25444
"421",11.66134547,14,39,3,0,0,0.018776402,38.007704,-121.334544
"422",11.90496755,21,19,4,0,0,0.036522353,38.040928,-121.328128
"423",11.69524702,14,19,3,0,0,0.007005406,38.03292,-121.356656
"424",11.44838694,12,26,3,0,0,0.049961037,38.027268,-121.3086
"425",11.67801608,15,18,3,1,0,0.040782857,38.019764,-121.315576
"426",11.13458902,11,48,2,0,0,0.07398494,37.956584,-121.256208
"427",11.45105006,10,48,3,0,0,0.039258529,37.983124,-121.30336
"428",12.05641187,26,9,4,1,0,0.000102631,38.034076,-121.364472
"429",11.83500896,18,6,3,0,1,0.017914348,38.021228,-121.340576
"430",10.97678203,8,52,2,0,0,0.049628485,37.986992,-121.293736
"431",10.91508846,9,60,2,1,0,0.048874512,37.980392,-121.292048
"432",11.60823564,17,34,3,0,0,0.047110435,38.01552,-121.307208
"433",11.7905572,19,19,3,0,0,0.011707162,38.034048,-121.352056
"434",11.2708539,11,27,3,1,0,0.051982381,38.015584,-121.302024
"435",11.84222921,12,50,3,0,1,0.106191507,38.050088,-121.257112
"436",11.67419361,18,21,4,0,0,0.03264806,38.038436,-121.331328
"437",11.77490504,16,16,3,0,0,0.015305668,38.032436,-121.3476
"438",11.77528973,18,81,2,0,0,0.034815006,37.970384,-121.303296
"439",11.7829526,21,20,3,0,0,0.031992166,38.034908,-121.330696
"440",12.42118403,23,2,4,0,0,0.012665708,37.972084,-121.354696
"441",11.79433792,17,5,4,1,0,0.062112278,37.998576,-121.284768
"442",11.84904049,17,13,3,0,0,0.0063422,38.042476,-121.360976
"443",11.7109153,16,20,3,0,0,0.034543771,38.032028,-121.32688
"444",11.56171563,17,77,4,0,0,0.028894056,37.963584,-121.307056
"445",11.76756768,17,88,3,1,1,0.031613817,37.960968,-121.30316
"446",12.20607265,23,45,3,0,0,0.020810196,37.965112,-121.360768
"447",11.19134184,12,30,3,0,0,0.04965066,38.017096,-121.305088
"448",12.25486281,21,31,3,0,1,0.003405934,38.003276,-121.356584
"449",11.41861479,12,32,3,1,0,0.049803745,38.0293,-121.309536
"450",11.50287513,11,38,3,0,0,0.045274351,38.013332,-121.308344
"451",11.86709728,19,18,4,0,0,0.017014635,38.040044,-121.348648
"452",11.26446411,12,49,2,1,0,0.018774919,37.979204,-121.323776
"453",10.94199592,8,53,2,1,0,0.049034459,37.986116,-121.29404
"454",11.65268741,13,56,3,0,0,0.018680564,37.974216,-121.321992
"455",11.17745273,11,17,3,1,0,0.070900004,38.025384,-121.285504
"456",11.89818787,20,9,4,0,1,0.061158491,38.0093,-121.28984
"457",11.25803322,11,17,3,1,0,0.073348392,38.030892,-121.284968
"458",11.91839057,17,6,3,0,0,0.014441545,38.05474,-121.356952
"459",11.77528973,20,15,4,1,0,0.005458903,38.035616,-121.359328
"460",11.35040654,13,29,3,0,0,0.048098226,38.017764,-121.307
"461",11.6307085,14,42,3,1,0,0.002326376,37.963544,-121.340416
"462",11.53272809,10,48,3,1,0,0.01340537,37.977944,-121.32904
"463",11.2835123,8,46,2,1,0,0.018222759,38.003068,-121.333384
"464",11.31447453,7,52,2,1,0,0.108275065,38.042052,-121.251848
