,Admin2,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,County,State,TotalPop,Transit,WorkAtHome
2409,Rusk,Texas,32.10773545,-94.76176432,264,3,0,Rusk,Texas,53457.0,0.2,3.6
2410,Rusk,Wisconsin,45.47498854,-91.1333012,11,1,0,Rusk,Wisconsin,14357.0,0.3,7.6
2411,Russell,Alabama,32.28725256,-85.18415324,734,0,0,Russell,Alabama,58302.0,0.3,2.8
2413,Russell,Kentucky,36.99308373,-85.06070117,68,5,0,Russell,Kentucky,17669.0,0.3,2.8
2414,Russell,Virginia,36.93028320000001,-82.10095486,26,0,0,Russell,Virginia,28245.0,0.0,2.4
2415,Rutherford,North Carolina,35.40114178,-81.92112099,415,10,0,Rutherford,North Carolina,66865.0,0.2,3.3
2416,Rutherford,Tennessee,35.84591405,-86.4107263,3839,39,0,Rutherford,Tennessee,282558.0,0.4,3.0
2417,Rutland,Vermont,43.57723578,-73.03741676,78,1,0,Rutland,Vermont,60530.0,0.9,5.6
2418,Sabine,Louisiana,31.56388699,-93.55433981,236,1,0,Sabine,Louisiana,24248.0,1.1,3.1
2419,Sabine,Texas,31.34318809,-93.85440451,34,1,0,Sabine,Texas,10440.0,0.2,5.8
2420,Sac,Iowa,42.38624071,-95.10547892,69,0,0,Sac,Iowa,10101.0,0.3,4.5
2421,Sacramento,California,38.45106826,-121.34253740000001,5938,91,0,Sacramento,California,1465832.0,2.9,5.1
2422,Sagadahoc,Maine,43.95415864,-69.85074999,34,0,0,Sagadahoc,Maine,35092.0,0.2,5.2
2423,Saginaw,Michigan,43.33433923,-84.05131209999998,1432,125,0,Saginaw,Michigan,196479.0,0.6,3.5
2424,Saguache,Colorado,38.08054629,-106.282466,103,2,0,Saguache,Colorado,6238.0,0.9,6.9
2425,Salem,New Jersey,39.58719656,-75.34696629999998,818,78,0,Salem,New Jersey,65120.0,1.2,2.7
2427,Saline,Arkansas,34.64916145,-92.67583224,512,3,0,Saline,Arkansas,113833.0,0.2,2.7
2428,Saline,Illinois,37.75332999,-88.54119706,17,0,0,Saline,Illinois,24783.0,0.8,2.6
2429,Saline,Kansas,38.78369175,-97.65185177,236,3,0,Saline,Kansas,55735.0,0.5,3.2
2430,Saline,Missouri,39.13734288,-93.20259964,319,5,0,Saline,Missouri,23334.0,1.1,3.0
2431,Saline,Nebraska,40.52418865,-97.14085859,548,2,0,Saline,Nebraska,14360.0,0.2,3.5
